"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 29 23:33:36 UTC 2025","Mon Dec 29 23:33:36 UTC 2025","1","Surefire suite","Surefire test","com.cjs.qa.junit.tests.RetryAnalyzerTest","com.cjs.qa.junit.tests.RetryAnalyzerTest","testRetryAnalyzerConfigurationActive","testRetryAnalyzerConfigurationActive [DEV]",""
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/companies.spec.ts","","Companies Integration Tests › should load companies list page [PROD]","Playwright test: Companies Integration Tests › should load companies list page"
"passed","Mon Dec 29 23:34:31 UTC 2025","Mon Dec 29 23:34:33 UTC 2025","1452","Surefire suite","Surefire test","com.cjs.qa.junit.tests.mobile.MobileBrowserTests","com.cjs.qa.junit.tests.mobile.MobileBrowserTests","testMobileViewportConfiguration","testMobileViewportConfiguration [DEV]","Test viewport meta tag and responsive behavior"
"passed","Mon Dec 29 23:32:48 UTC 2025","Mon Dec 29 23:32:51 UTC 2025","2361","Surefire suite","Surefire test","com.cjs.qa.junit.tests.EnhancedGridTests","com.cjs.qa.junit.tests.EnhancedGridTests","testMultiSiteNavigation","Test navigation between multiple sites [DEV]","Verify ability to navigate between multiple websites in same session"
"passed","Mon Dec 29 23:32:15 UTC 2025","Mon Dec 29 23:32:16 UTC 2025","1088","Surefire suite","Surefire test","com.cjs.qa.junit.tests.HtmlUnitUpgradeVerificationTest","com.cjs.qa.junit.tests.HtmlUnitUpgradeVerificationTest","testWebClientUsage","testWebClientUsage [DEV]",""
"passed","Mon Dec 29 23:32:15 UTC 2025","Mon Dec 29 23:32:15 UTC 2025","1","Surefire suite","Surefire test","com.cjs.qa.junit.tests.HtmlUnitUpgradeVerificationTest","com.cjs.qa.junit.tests.HtmlUnitUpgradeVerificationTest","testPackageNames","testPackageNames [DEV]",""
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/applications.spec.ts","","Applications Integration Tests › should view application details [DEV]","Playwright test: Applications Integration Tests › should view application details"
"passed","Mon Dec 29 23:32:54 UTC 2025","Mon Dec 29 23:32:54 UTC 2025","569","Surefire suite","Surefire test","com.cjs.qa.junit.tests.EnhancedGridTests","com.cjs.qa.junit.tests.EnhancedGridTests","testResponsiveDesign","Verify responsive design detection [DEV]","Verify website works correctly at different viewport sizes"
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/applications.spec.ts","","Applications Integration Tests › should handle empty applications list [DEV]","Playwright test: Applications Integration Tests › should handle empty applications list"
"passed","Mon Dec 29 23:34:20 UTC 2025","Mon Dec 29 23:34:24 UTC 2025","3396","Surefire suite","Surefire test","com.cjs.qa.junit.tests.mobile.ResponsiveDesignTests","com.cjs.qa.junit.tests.mobile.ResponsiveDesignTests","testOrientationChanges","testOrientationChanges [DEV]","Test layout adaptation between portrait and landscape orientations"
"passed","Mon Dec 29 23:34:33 UTC 2025","Mon Dec 29 23:34:33 UTC 2025","628","Surefire suite","Surefire test","com.cjs.qa.junit.tests.mobile.MobileBrowserTests","com.cjs.qa.junit.tests.mobile.MobileBrowserTests","testMobileFormInput","testMobileFormInput [DEV]","Test form input on mobile devices"
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/applications.spec.ts","","Applications Integration Tests › should handle empty applications list [PROD]","Playwright test: Applications Integration Tests › should handle empty applications list"
